,"Outstanding Quota
Policy No. Claim No. UW Year From Date To Date Approval Dt Insured Name Intm. Dt. Date Loss Recoveries Damage Type Amount Share Surplus",,,,,,,,,,,,,
0,P-2023-100-80,0C3--28002-132-170801-68003-3254,2023,10-Jan-23,8-Jul-23,6-Mar-23,KITUI FLOUR MILLS LTD,24-Feb-23,30-Jan-23,NO,Accidental Damage,"400,000",0,"375,150"
1,P-2023-100-80,0C3--28002-132-190006-98003-3252,2023,10-Feb-23,9-Aug-23,1-Mar-23,WORLD BRANDS (K) LIMITED,1-Mar-23,27-Feb-23,NO,Accidental Damage,"1,685,095",0,"337,019"
2,P-2023-100-80,0C3--28002-133-150202-18003-3585,2023,25-Aug-23,22-Nov-23,19-Oct-23,INSTA PRODUCTS (EPZ) LIMITED.,24-Sep-23,25-Aug-23,NO,Accidental Damage,"300,000",0,"241,455"
3,P-2023-100-80,0C3--29052-432-140800-8003-3583,2023,28-Aug-23,26-Nov-23,12-Oct-23,ATTA KENYA LIMITED,12-Oct-23,11-Oct-23,NO,Accidental Damage,"182,679",0,"163,134"
4,P-2023-100-80,2C1--28002-133-140007-58021-3587,2023,9-Aug-23,6-Nov-23,26-Oct-23,CZARNIKOW EAST AFRICA LIMITED,4-Sep-23,4-Sep-23,NO,Cargo Loss Damage,"20,800",0,"17,211"
5,P-2023-100-80,2C1--28002-133-150302-68021-3605,2023,4-Sep-23,2-Dec-23,17-Nov-23,CZARNIKOW SUGAR (EA) LTD,24-Oct-23,24-Oct-23,NO,Cargo Loss Damage,"474,915",0,"385,549"
6,P-2023-100-80,2C1--28002-133-150308-08021-3601,2023,6-Sep-23,5-Dec-23,17-Nov-23,CZARNIKOW EAST AFRICA LIMITED,24-Oct-23,24-Oct-23,NO,Cargo Loss Damage,"400,000",0,"333,874"
7,P-2023-100-80,2C1--28002-133-150509-58021-3677,2023,15-Sep-23,14-Dec-23,9-Feb-24,CZARNIKOW EAST AFRICA LIMITED,8-Feb-24,14-Dec-23,NO,Cargo Loss Damage,"244,480",0,"156,844"
8,P-2023-100-80,2C1--28002-133-150701-28021-3581,2023,2-Jun-23,31-Aug-23,29-Sep-23,NAILS AND STEEL PRODUCTS LTD,11-Aug-23,11-Aug-23,NO,Cargo Loss Damage,"300,000",0,"233,259"
9,P-2023-100-80,2C1--28002-133-150703-08021-3606,2023,22-Sep-23,21-Dec-23,17-Nov-23,CZARNIKOW SUGAR (EA) LTD,24-Oct-23,24-Oct-23,NO,Cargo Loss Damage,"149,632",0,"105,810"
10,P-2023-100-80,2C1--28002-133-150807-28021-3718,2023,28-Sep-23,26-Mar-24,5-Apr-24,HOTPOINT APPLIANCES LIMITED,28-Dec-23,28-Dec-23,NO,Cargo Loss Damage,"80,694",0,"15,842"
11,P-2023-100-80,2C1--28002-143-150807-28021-3717,2023,28-Sep-23,26-Mar-24,5-Apr-24,HOTPOINT APPLIANCES LIMITED,28-Mar-24,22-Mar-24,NO,Cargo Loss Damage,"85,227",0,"16,732"
12,P-2023-100-80,2C1--28002-133-150902-58021-3630,2023,2-Oct-23,31-Dec-23,27-Nov-23,CZARNIKOW EAST AFRICA LIMITED,24-Nov-23,24-Nov-23,NO,Cargo Loss Damage,"265,583",0,"98,611"
13,P-2023-100-80,2C1--28002-133-160101-08021-3683,2023,2-Sep-23,30-Nov-23,9-Feb-24,NAILS AND STEEL PRODUCTS LTD,27-Jan-24,30-Nov-23,NO,Cargo Loss Damage,"62,800",0,"43,595"
14,P-2023-100-80,2C1--28002-133-160101-18021-3716,2023,19-Sep-23,17-Dec-23,28-Mar-24,NAILS AND STEEL PRODUCTS LTD,8-Mar-24,5-Dec-23,NO,Cargo Loss Damage,"989,134",0,"626,814"
15,P-2023-100-80,2C1--28002-143-160303-98021-3772,2023,13-Oct-23,11-Jan-24,11-Jun-24,CZARNIKOW SUGAR (EA) LTD,23-May-24,2-Jan-24,NO,Cargo Loss Damage,"165,000",0,"69,336"
16,P-2023-100-80,2C1--28002-133-160304-08021-3627,2023,13-Oct-23,11-Jan-24,24-Nov-23,CZARNIKOW SUGAR (EA) LTD,10-Nov-23,10-Nov-23,NO,Cargo Loss Damage,"320,000",0,"118,816"
17,P-2023-100-80,2C1--28002-133-160309-28021-3603,2023,16-Oct-23,14-Jan-24,17-Nov-23,CZARNIKOW SUGAR (EA) LTD,10-Nov-23,10-Nov-23,NO,Cargo Loss Damage,"320,890",0,"119,146"
18,P-2023-100-80,2C1--28002-133-160405-88021-3628,2023,12-Oct-23,10-Jan-24,24-Nov-23,CZARNIKOW SUGAR (EA) LTD,10-Nov-23,10-Nov-23,NO,Cargo Loss Damage,"150,000",0,"55,695"
19,P-2023-100-80,2C1--28002-133-160500-18021-3632,2023,18-Oct-23,16-Jan-24,28-Nov-23,CZARNIKOW SUGAR (EA) LTD,24-Nov-23,24-Nov-23,NO,Cargo Loss Damage,"213,324",0,"79,207"
20,P-2023-100-80,2C1--28002-133-160509-68021-3626,2023,24-Oct-23,21-Apr-24,23-Nov-23,METSEC CABLES LTD,16-Nov-23,15-Nov-23,NO,Water Damage,"300,000",0,"111,390"
21,P-2023-100-80,2C1--28002-143-170007-28021-3666,2023,7-Nov-23,5-Feb-24,5-Feb-24,CZARNIKOW EAST AFRICA LIMITED,25-Jan-24,25-Jan-24,NO,Water Damage,"1,176,203",0,"701,355"
22,P-2023-100-80,2C1--28002-143-170104-48021-3771,2023,14-Nov-23,12-Feb-24,11-Jun-24,CZARNIKOW SUGAR (EA) LTD,23-May-24,9-Feb-24,NO,Cargo Loss Damage,"330,000",0,"163,207"
23,P-2023-100-80,2C1--28002-143-170108-78021-3770,2023,15-Nov-23,13-Feb-24,11-Jun-24,CZARNIKOW SUGAR (EA) LTD,23-May-24,10-Feb-24,NO,Cargo Loss Damage,"165,000",0,"72,882"
24,P-2023-100-80,2C1--28002-143-170109-08021-3768,2023,15-Nov-23,13-Feb-24,11-Jun-24,CZARNIKOW SUGAR (EA) LTD,23-May-24,10-Feb-24,NO,Cargo Loss Damage,"500,000",0,"165,507"
25,P-2023-100-80,2C1--28002-133-170201-48021-3674,2023,29-Sep-23,28-Dec-23,9-Feb-24,CZARNIKOW EAST AFRICA LIMITED,20-Dec-23,20-Dec-23,NO,Water Damage,"631,977",0,"373,837"
26,P-2023-100-80,2C1--28002-133-170305-38021-3681,2023,21-Nov-23,19-Feb-24,9-Feb-24,CZARNIKOW SUGAR (EA) LTD,30-Nov-23,30-Nov-23,NO,Cargo Loss Damage,"3,900,000",0,"1,965,933"
27,P-2023-100-80,2C1--28002-143-170305-38021-3667,2023,21-Nov-23,19-Feb-24,5-Feb-24,CZARNIKOW SUGAR (EA) LTD,25-Jan-24,25-Jan-24,NO,Cargo Loss Damage,"1,461,043",0,"736,491"
28,P-2023-100-80,2C1--28002-143-170700-78021-3769,2023,27-Nov-23,25-Feb-24,11-Jun-24,CZARNIKOW SUGAR (EA) LTD,23-May-24,20-Feb-24,NO,Cargo Loss Damage,"330,000",0,"146,299"
29,P-2023-100-80,2C1--28002-143-170904-38021-3668,2023,1-Dec-23,29-Feb-24,5-Feb-24,CZARNIKOW SUGAR (EA) LTD,25-Jan-24,25-Jan-24,NO,Water Damage,"243,773",0,"118,435"
30,P-2023-100-80,2C1--28002-143-180007-58021-3676,2023,5-Dec-23,4-Mar-24,9-Feb-24,CZARNIKOW SUGAR (EA) LTD,8-Feb-24,31-Jan-24,NO,Cargo Loss Damage,"408,411",0,"190,993"
31,P-2023-100-80,2C1--28002-143-180100-68021-3669,2023,5-Dec-23,4-Mar-24,5-Feb-24,CZARNIKOW SUGAR (EA) LTD,25-Jan-24,25-Jan-24,NO,Water Damage,"365,082",0,"180,997"
32,P-2023-100-80,2C1--28002-143-180102-38021-3767,2023,6-Dec-23,5-Mar-24,11-Jun-24,CZARNIKOW SUGAR (EA) LTD,23-May-24,29-Feb-24,NO,Cargo Loss Damage,"330,000",0,"189,090"
33,P-2023-100-80,2C1--28002-143-180106-88021-3755,2023,8-Dec-23,7-Mar-24,7-Jun-24,CZARNIKOW SUGAR (EA) LTD,23-May-24,7-Mar-24,NO,Cargo Loss Damage,"1,200,000",0,"573,406"
34,P-2023-100-80,2C1--28002-143-180502-18021-3670,2023,18-Dec-23,17-Mar-24,5-Feb-24,CZARNIKOW SUGAR (EA) LTD,25-Jan-24,25-Jan-24,NO,Cargo Loss Damage,"368,898",0,"150,400"
35,P-2023-150-80,0C3--28002-145-185805-8003-3682,2023,29-Nov-23,26-May-24,9-Feb-24,BARAKA KENYA LIMITED,24-Jan-24,19-Jan-24,YES,Accidental Damage,"115,420",0,"64,935"
36,P-2023-150-80,2C1--28002-135-155006-8021-3631,2023,4-Oct-23,31-Mar-24,28-Nov-23,ELGON KENYA LTD,24-Nov-23,11-Nov-23,NO,Cargo Loss Damage,"378,970",0,"363,742"
37,P-2023-150-80,2C1--28002-145-195603-8021-3654,2023,11-Dec-23,7-Jun-24,17-Jan-24,ELGON KENYA LTD,15-Jan-24,15-Jan-24,YES,Cargo Loss Damage,"6,488,317",0,"6,243,838"
38,P-2023-150-80,2C1--28002-145-195802-8021-3656,2023,6-Dec-23,2-Jun-24,17-Jan-24,ELGON KENYA LTD,17-Jan-24,17-Jan-24,NO,Cargo Loss Damage,"3,438,578",0,"1,642,927"
39,P-2022-200-80,2C1--28002-138-230504-8021-3263,2023,9-Jan-23,7-Jul-23,20-Mar-23,CORRUGATED SHEETS LTD,30-Jan-23,14-Jan-23,YES,Cargo Loss Damage,"157,470",0,"144,901"
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,"17,893,665"
